Second,Millisecond,Depth (inches),Rate (CPM),Release Velocity (MM/S),Valid/Invalid
198,229,0.896,119,139,Valid
198,709,0.883,127,134,Valid
199,206,0.803,125,110,Valid
199,686,0.784,120,117,Valid
200,206,0.887,111,147,Valid
200,702,0.829,129,134,Valid
201,182,0.866,120,126,Valid
201,734,0.973,108,142,Valid
202,470,0.786,81,93,Valid
202,870,0.791,133,135,Valid
207,750,0.795,12,170,Valid
208,663,0.764,68,99,Valid
209,63,0.767,133,115,Valid
209,479,0.678,147,135,Valid
209,967,0.647,133,129,Valid
210,407,0.632,136,112,Valid
210,839,0.65,131,86,Valid
211,263,0.724,136,111,Valid
211,735,0.729,127,117,Valid
212,711,0.687,64,95,Valid
213,159,0.7,122,88,Valid
213,647,0.679,125,119,Valid
214,135,0.632,131,97,Valid
214,599,0.643,125,88,Valid
215,63,0.716,127,107,Valid
215,567,0.757,117,115,Valid
216,55,0.757,125,101,Valid
216,527,0.767,129,113,Valid
217,7,0.8,122,126,Valid
217,496,0.722,127,112,Valid
217,976,0.754,119,106,Valid
218,464,0.725,127,95,Valid
218,944,0.682,131,79,Valid
219,384,0.726,122,98,Valid
219,872,0.695,131,97,Valid
220,328,0.668,131,89,Valid
220,816,0.614,129,70,Valid
221,256,0.613,127,75,Valid
221,728,0.623,127,80,Valid
222,208,0.64,125,98,Valid
222,688,0.601,131,102,Valid
223,144,0.628,127,103,Valid
223,608,0.633,131,90,Valid
224,48,0.68,129,88,Valid
224,512,0.671,129,91,Valid
224,968,0.637,133,96,Valid
225,456,0.626,127,84,Valid
225,928,0.636,122,97,Valid
226,393,0.701,127,96,Valid
226,881,0.733,120,89,Valid
227,369,0.71,125,100,Valid
227,865,0.696,125,94,Valid
228,305,0.709,127,107,Valid
228,817,0.658,129,82,Valid
229,273,0.701,119,93,Valid
229,777,0.658,125,86,Valid
230,241,0.664,129,86,Valid
230,729,0.68,119,87,Valid
231,233,0.679,117,84,Valid
231,729,0.684,120,104,Valid
232,257,0.611,129,77,Valid
232,713,0.625,120,69,Valid
233,185,0.679,120,84,Valid
233,689,0.623,129,91,Valid
234,177,0.586,122,85,Valid
234,657,0.573,127,74,Valid
235,113,0.655,120,90,Valid
235,721,0.628,100,117,Valid
236,522,0.579,78,84,Valid
236,898,0.598,144,79,Valid
237,330,0.634,144,101,Valid
238,202,0.578,72,97,Valid
238,594,0.558,141,79,Valid
238,994,0.572,150,82,Valid
239,394,0.559,150,89,Valid
239,826,0.569,136,99,Valid
240,274,0.547,147,93,Valid
240,674,0.569,141,87,Valid
241,82,0.577,147,88,Valid
241,490,0.563,144,89,Valid
241,914,0.559,144,92,Valid
242,338,0.572,141,91,Valid
242,754,0.605,138,94,Valid
243,226,0.589,131,88,Valid
243,674,0.566,136,78,Valid
244,82,0.599,138,91,Valid
244,538,0.598,136,90,Valid
244,970,0.602,136,91,Valid
245,427,0.594,136,85,Valid
245,827,0.616,141,93,Valid
246,283,0.569,141,80,Valid
246,675,0.571,144,82,Valid
247,99,0.606,138,103,Valid
247,563,0.585,136,84,Valid
248,3,0.665,125,106,Valid
248,459,0.649,141,97,Valid
248,915,0.67,127,91,Valid
249,331,0.736,136,126,Valid
249,811,0.767,131,115,Valid
250,243,0.812,133,132,Valid
250,739,0.729,131,107,Valid
251,171,0.705,131,89,Valid
251,627,0.71,129,83,Valid
252,83,0.716,133,89,Valid
252,539,0.662,133,101,Valid
252,987,0.613,138,91,Valid
253,419,0.613,136,94,Valid
253,851,0.584,141,79,Valid
254,276,0.586,138,85,Valid
254,676,0.607,138,97,Valid
255,132,0.591,141,96,Valid
255,996,0.591,69,87,Valid
256,820,0.564,71,84,Valid
257,668,0.594,70,103,Valid
258,84,0.593,147,107,Valid
258,540,0.647,127,100,Valid
258,972,0.639,144,107,Valid
259,428,0.614,136,93,Valid
259,876,0.633,129,92,Valid
260,380,0.58,129,78,Valid
260,804,0.609,127,102,Valid
261,244,0.614,138,94,Valid
261,652,0.639,144,115,Valid
262,132,0.581,141,103,Valid
263,4,0.588,66,81,Valid
263,413,0.661,131,94,Valid
263,885,0.642,133,111,Valid
264,333,0.607,138,125,Valid
265,213,0.679,66,92,Valid
265,597,0.631,153,107,Valid
266,277,0.855,86,163,Valid
266,853,0.771,115,126,Valid
267,333,0.817,117,109,Valid
267,789,0.853,127,139,Valid
268,333,0.782,117,109,Valid
268,829,0.692,122,106,Valid
269,229,0.756,136,139,Valid
269,749,0.73,122,126,Valid
270,229,0.721,127,114,Valid
270,677,0.738,129,104,Valid
271,158,0.766,120,118,Valid
271,638,0.719,129,116,Valid
272,94,0.758,131,119,Valid
272,533,0.787,131,147,Valid
272,997,0.743,136,152,Valid
273,422,0.691,147,115,Valid
273,870,0.819,120,114,Valid
274,414,0.904,108,142,Valid
274,934,0.862,119,161,Valid
275,414,0.741,136,157,Valid
276,326,0.808,63,94,Valid
276,790,0.774,125,100,Valid
277,262,0.722,131,115,Valid
277,734,0.659,133,115,Valid
278,174,0.653,133,112,Valid
278,638,0.659,129,96,Valid
279,110,0.683,122,103,Valid
279,590,0.678,129,107,Valid
280,70,0.665,125,107,Valid
280,542,0.637,131,100,Valid
281,14,0.67,120,89,Valid
281,454,0.672,133,109,Valid
281,934,0.614,136,100,Valid
282,415,0.658,119,101,Valid
282,871,0.674,129,91,Valid
283,335,0.657,131,100,Valid
283,791,0.655,131,100,Valid
284,279,0.635,127,96,Valid
284,679,0.684,138,110,Valid
285,71,0.598,159,93,Valid
285,503,0.614,138,99,Valid
285,943,0.584,141,86,Valid
286,367,0.576,138,95,Valid
286,775,0.597,141,98,Valid
287,199,0.643,138,113,Valid
287,639,0.596,153,101,Valid
288,15,0.555,153,76,Valid
