second25,ms26,D,CPM,Vr,valid
1004,982,1212,125,214,1
1005,470,1165,125,236,1
1008,310,1029,21,188,1
1008,766,999,131,191,1
1019,591,1159,5,293,1
1020,79,1191,127,283,1
1020,527,1250,136,270,1
1020,959,1437,133,323,1
1021,407,1372,133,311,1
1021,895,1459,125,358,1
1022,352,1455,133,315,1
1022,808,1607,129,343,1
1023,248,1618,133,339,1
1023,712,1559,129,349,1
1024,192,1464,127,300,1
1024,648,1476,131,318,1
1025,120,1432,129,296,1
1025,568,1433,133,306,1
1026,24,1376,131,284,1
1026,488,1364,127,287,1
1026,944,1348,131,284,1
1027,424,1335,127,285,1
1027,896,1332,125,270,1
1028,352,1401,131,305,1
1028,816,1413,129,299,1
1029,288,1358,129,270,1
1029,760,1447,125,315,1
1030,216,1521,129,316,1
1030,680,1533,131,313,1
1031,144,1534,131,315,1
1031,617,1479,127,283,1
1032,57,1414,133,280,1
1032,505,1385,136,309,1
1032,961,1388,129,283,1
1033,449,1348,122,265,1
1033,905,1339,133,271,1
1034,393,1366,120,260,1
1034,873,1420,122,290,1
1035,329,1498,133,314,1
1035,809,1470,127,301,1
1036,273,1452,127,278,1
1036,753,1441,127,295,1
1037,217,1388,129,276,1
1037,689,1234,127,192,1
1049,763,1191,4,228,1
1050,211,1274,136,299,1
1050,643,1276,141,306,1
1051,75,1284,141,285,1
1051,499,1338,138,287,1
1051,955,1413,129,308,1
1052,395,1385,136,318,1
1052,859,1300,136,288,1
1053,315,1284,129,276,1
1053,755,1301,131,273,1
1054,187,1302,138,280,1
1054,643,1273,131,281,1
1055,67,1248,144,287,1
1055,491,1403,138,348,1
1055,963,1312,133,245,1
1056,379,1498,136,341,1
1056,827,1478,136,338,1
1057,291,1438,131,273,1
1057,739,1467,131,289,1
1058,195,1474,131,307,1
1058,668,1425,127,298,1
1059,108,1543,136,341,1
1059,556,1550,136,311,1
1059,996,1554,133,296,1
1060,444,1548,133,286,1
1060,916,1566,127,302,1
1061,388,1537,129,298,1
1077,462,1460,3,307,1
1077,902,1451,141,309,1
1078,334,1488,138,336,1
1078,798,1450,129,273,1
1079,222,1462,138,302,1
1079,662,1458,138,325,1
1080,134,1443,125,305,1
1080,598,1466,131,310,1
1081,62,1511,129,307,1
1081,510,1524,131,291,1
1081,958,1517,131,307,1
1082,430,1442,131,297,1
1082,878,1404,133,286,1
1083,326,1453,133,320,1
1083,766,1522,133,308,1
1084,214,1611,133,332,1
1084,654,1625,138,339,1
1085,110,1594,133,313,1
1085,550,1581,136,312,1
1085,982,1628,136,331,1
1086,439,1639,131,335,1
1086,911,1616,129,330,1
1087,359,1677,131,345,1
1087,807,1723,133,347,1
1088,255,1749,133,334,1
1088,703,1724,133,345,1
1089,159,1710,133,336,1
1089,607,1722,131,347,1
1090,63,1694,131,312,1
1090,511,1671,133,297,1
1090,975,1725,127,334,1
1091,439,1659,133,310,1
1091,887,1702,131,322,1
1092,359,1654,127,306,1
1092,815,1742,131,359,1
1093,279,1731,129,323,1
1093,719,1691,136,303,1
1094,159,1705,136,332,1
1094,623,1618,131,301,1
1095,63,1693,131,310,1
1095,543,1594,129,294,1
1095,991,1568,131,303,1
1096,464,1543,127,278,1
1096,904,1634,133,316,1
1097,360,1632,131,300,1
1097,808,1756,133,353,1
1098,280,1714,129,333,1
1098,744,1704,129,297,1
1099,168,1864,136,352,1
1099,616,1882,133,373,1
1100,56,1786,144,343,1
1100,480,1812,136,287,1
1100,912,1814,136,303,1
1101,360,1836,136,357,1
1101,824,1733,133,327,1
1102,288,1736,129,291,1
1102,736,1814,129,341,1
1103,176,1794,138,351,1
1103,632,1651,133,298,1
1138,84,1527,1,335,1
1138,556,1556,136,342,1
1138,980,1694,144,315,1
1139,396,1939,133,381,1
1139,820,1906,141,430,1
1140,252,1830,141,433,1
1140,692,1817,141,412,1
1141,132,1811,136,358,1
1141,556,1867,136,381,1
1142,12,1865,131,370,1
1142,445,1917,138,412,1
1142,901,1910,133,406,1
1143,333,1910,136,378,1
1143,789,1858,129,334,1
1144,229,2104,136,476,1
1144,661,2039,144,433,1
1145,109,1997,133,402,1
1145,549,1966,136,373,1
1145,973,1949,138,377,1
1146,421,1912,136,374,1
1146,853,1917,138,413,1
1147,309,1874,133,372,1
1147,733,1993,136,414,1
1148,197,2022,129,411,1
1148,637,2048,138,407,1
1149,69,2094,138,413,1
1149,525,2107,131,421,1
1149,989,2071,131,389,1
